PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P242
Station name, FrazierAirCN2004
Begin Date, 2004-12-18
End Date, 2023-08-28
Release Date, 2023-08-29
Source file, P242.cwu.igs14.pos
Offset from source file, 89.87 mm North, -186.12 mm East, -10.46 mm Vertical
Reference position, 36.9539319849 North Latitude, -121.4631841431 East Longitude, 14.75973 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-08-09,0.90, -16.32, -7.59, 2.06, 1.63, 7.4, repro,
2005-08-10,0.79, -16.29, -5.27, 2.14, 1.67, 7.61, repro,
2005-08-11,-0.63, -16.41, -6.01, 2.13, 1.75, 7.72, repro,
2005-08-12,-1.32, -17.15, -5.85, 2.23, 1.79, 8, repro,
2005-08-13,-0.11, -17.79, -3.55, 2.1, 1.69, 7.59, repro,
2005-08-14,-2.19, -16.47, -3.58, 2.23, 1.71, 7.92, repro,
2005-08-15,-2.58, -16.12, -4.22, 2.18, 1.72, 7.8, repro,
2005-08-16,-1.01, -15.74, -4.39, 2.12, 1.7, 7.56, repro,
2005-08-17,-1.05, -16.11, -10.44, 2.1, 1.69, 7.65, repro,
2005-08-18,-0.23, -15.90, -2.85, 2.07, 1.64, 7.47, repro,
2005-08-19,1.38, -18.35, -3.66, 2.07, 1.63, 7.46, repro,
2005-08-20,-0.02, -17.38, -5.70, 2.19, 1.72, 7.74, repro,
2005-08-21,0.54, -16.67, -5.52, 2.12, 1.69, 7.65, repro,
2005-08-22,-0.44, -18.12, -2.32, 2.06, 1.64, 7.41, repro,
2005-08-23,0.34, -18.16, -5.46, 2.06, 1.64, 7.46, repro,
2005-08-24,1.09, -17.89, -8.64, 2.09, 1.64, 7.51, repro,
2005-08-25,0.83, -18.36, -3.08, 2.13, 1.69, 7.65, repro,
2005-08-26,0.51, -18.53, -9.70, 2.1, 1.64, 7.51, repro,
2005-08-27,0.45, -16.82, -2.83, 2.14, 1.66, 7.6, repro,
2005-08-28,0.19, -18.00, -6.72, 2.05, 1.63, 7.36, repro,
2005-08-29,-0.42, -17.95, -9.72, 2.1, 1.69, 7.6, repro,
2005-08-30,0.70, -18.31, -7.07, 2.12, 1.7, 7.62, repro,
2005-08-31,1.20, -18.78, -9.01, 2.11, 1.69, 7.56, repro,
2005-09-01,-0.23, -18.50, -4.57, 2.15, 1.65, 7.53, repro,
2005-09-02,-0.42, -17.71, -9.17, 2.06, 1.63, 7.38, repro,
2005-09-03,0.46, -18.30, -8.95, 2.05, 1.63, 7.38, repro,
2005-09-04,1.53, -18.68, -12.00, 2.19, 1.72, 7.98, repro,
2005-09-05,0.93, -17.39, -11.46, 2.07, 1.64, 7.43, repro,
2005-09-06,-0.70, -19.72, -11.24, 2.07, 1.62, 7.34, repro,
2005-09-07,0.39, -19.70, -13.78, 2.2, 1.71, 7.73, repro,
2005-09-08,1.17, -19.84, -9.32, 2.14, 1.65, 7.61, repro,
2005-09-09,0.37, -20.34, -12.57, 2.12, 1.65, 7.61, repro,
2005-09-10,2.38, -18.54, -8.51, 2.12, 1.66, 7.64, repro,
2005-09-11,0.79, -19.58, -6.57, 2.13, 1.64, 7.52, repro,
2005-09-12,-0.22, -18.65, -12.71, 2.12, 1.64, 7.5, repro,
2005-09-13,1.48, -19.84, -9.65, 2.22, 1.73, 7.99, repro,
2005-09-14,0.75, -19.03, -8.48, 2.14, 1.69, 7.74, repro,
2005-09-15,1.71, -19.42, -10.47, 2.14, 1.69, 7.74, repro,
2005-09-16,0.79, -19.12, -6.33, 2.15, 1.7, 7.7, repro,
2005-09-17,1.81, -19.33, -13.43, 2.05, 1.62, 7.31, repro,
2005-09-18,1.29, -19.81, -7.20, 2.05, 1.62, 7.33, repro,
2005-09-19,1.06, -19.69, -13.55, 2.12, 1.65, 7.68, repro,
2005-09-20,0.25, -20.15, -11.32, 2.04, 1.63, 7.38, repro,
2005-09-21,0.97, -20.41, -8.56, 2.08, 1.67, 7.55, repro,
2005-09-22,1.82, -19.94, -14.69, 2.05, 1.63, 7.38, repro,
2005-09-23,1.18, -21.77, -12.19, 2.1, 1.67, 7.46, repro,
2005-09-24,2.22, -21.26, -9.92, 2.09, 1.67, 7.59, repro,
2005-09-25,1.61, -20.96, -7.34, 2.08, 1.68, 7.58, repro,
2005-09-26,1.69, -19.60, -8.79, 2.1, 1.67, 7.61, repro,
2005-09-27,2.98, -20.34, -6.72, 2.08, 1.68, 7.54, repro,
2005-09-28,2.16, -21.32, -2.67, 2.12, 1.65, 7.49, repro,
2005-09-29,1.55, -21.61, -6.28, 2.14, 1.65, 7.52, repro,
2005-09-30,2.14, -21.41, 0.31, 2.06, 1.63, 7.43, repro,
2005-10-01,1.71, -22.32, -4.44, 2.05, 1.63, 7.36, repro,
2005-10-02,2.75, -21.88, -3.48, 2.14, 1.71, 7.79, repro,
2005-10-03,1.46, -20.70, -3.54, 2.06, 1.66, 7.44, repro,
2005-10-04,2.04, -20.51, -13.21, 2.13, 1.64, 7.52, repro,
2005-10-05,1.73, -21.80, -10.93, 2.13, 1.64, 7.62, repro,
2005-10-06,0.59, -22.36, -5.45, 2.07, 1.63, 7.36, repro,
2005-10-07,1.98, -22.58, -0.25, 2.12, 1.64, 7.59, repro,
2005-10-08,1.34, -22.03, -4.13, 2.06, 1.6, 7.3, repro,
2005-10-09,2.91, -22.94, -2.68, 2.06, 1.6, 7.28, repro,
2005-10-10,1.68, -22.71, -3.47, 2.14, 1.64, 7.64, repro,
2005-10-11,1.94, -22.89, -7.23, 2.09, 1.67, 7.6, repro,
2005-10-12,2.91, -23.38, -5.74, 2.06, 1.65, 7.46, repro,
2005-10-13,3.16, -22.63, -4.05, 2.09, 1.68, 7.48, repro,
2005-10-14,3.49, -22.62, 0.40, 2.05, 1.62, 7.28, repro,
2005-10-15,2.63, -22.94, 1.66, 2.16, 1.72, 7.89, repro,
2005-10-16,2.29, -24.82, -4.15, 2.11, 1.69, 7.6, repro,
2005-10-17,4.98, -24.22, -2.62, 2.15, 1.69, 7.79, repro,
2005-10-18,2.91, -23.30, -3.28, 2.16, 1.77, 7.97, repro,
2005-10-19,2.42, -24.02, 1.50, 2.19, 1.7, 8.05, repro,
2005-10-20,3.77, -24.40, -7.36, 2.21, 1.67, 7.76, repro,
2005-10-21,4.10, -24.98, -2.04, 2.18, 1.74, 7.99, repro,
2005-10-22,4.49, -24.00, -7.13, 2.05, 1.6, 7.33, repro,
2005-10-23,5.77, -24.99, -7.23, 2.1, 1.67, 7.55, repro,
2005-10-24,4.31, -24.28, -21.15, 2.09, 1.66, 7.53, repro,
2005-10-25,5.92, -25.12, -1.79, 2.07, 1.67, 7.48, repro,
2005-10-26,5.17, -25.34, -3.60, 2.14, 1.74, 7.74, repro,
2005-10-27,5.41, -24.33, -1.33, 2.1, 1.67, 7.57, repro,
2005-10-28,5.84, -25.68, -1.35, 2.07, 1.61, 7.39, repro,
2005-10-29,5.60, -25.40, 2.02, 2.1, 1.66, 7.62, repro,
